Gene1,Gene2,Score
CBFB,ZFP24,754.0
CBFB,PHAX,1001.0
CBFB,HIPK1,633.0
CBFB,MFAP3,1242.0
CBFB,ST8SIA4,866.0
CBFB,ISG20,638.0
CBFB,PGGHG,1003.0
CBFB,PRKACB,1033.0
CBFB,CNOT7,601.0
CBFB,PTDSS1,1004.0
CBFB,CHP1,862.0
CBFB,ATG4B,836.0
CBFB,AHCYL1,917.0
CBFB,ZFP397,1386.0
CBFB,IPO9,675.0
CBFB,RBL2,848.0
CBFB,KIZ,693.0
CBFB,ZDHHC20,705.0
CBFB,MCM4,1102.0
CBFB,GPR65,1112.0
CBFB,CEP70,676.0
CBFB,BAP1,827.0
CBFB,CDS2,790.0
CBFB,PRMT7,731.0
CBFB,HARS2,1564.0
CBFB,HARS,1564.0
CBFB,RNF139,678.0
CBFB,TRIM44,680.0
CBFB,COA5,889.0
CBFB,THUMPD3,1543.0
CBFB,CTR9,1045.0
CBFB,CNOT10,1142.0
CBFB,RCN2,887.0
CBFB,NRBP1,843.0
CBFB,PPME1,850.0
CBFB,SLA2,1062.0
CBFB,CUL3,717.0
CBFB,ITPK1,990.0
CBFB,IFNAR1,592.0
CBFB,STK17B,642.0
CBFB,TMOD3,750.0
CBFB,D10WSU102E,933.0
CBFB,CDCA4,766.0
CBFB,CYP51,951.0
CBFB,DHRS3,698.0
CBFB,PPOX,719.0
CBFB,ELP3,675.0
CBFB,FAM168B,568.0
CBFB,MEMO1,711.0
CBFB,RNF145,778.0
CBFB,HIST1H1C,722.0
CBFB,GUF1,808.0
CBFB,COPS8,788.0
CBFB,ABTB1,867.0
CBFB,STAT2,648.0
CBFB,GALK2,942.0
CBFB,DUSP1,581.0
CBFB,ADAMTS10,728.0
CBFB,USP3,658.0
CBFB,TBL3,837.0
CBFB,OTULINL,847.0
CBFB,ITSN1,727.0
CBFB,PACSIN2,596.0
CBFB,SATB1,904.0
CBFB,HACD3,1012.0
CBFB,CRBN,679.0
CBFB,FAM136A,801.0
CBFB,SPNS3,570.0
CBFB,MTREX,905.0
CBFB,GLB1,671.0
CBFB,HBP1,679.0
CBFB,GBA2,749.0
CBFB,DOK2,844.0
CBFB,TMEM43,727.0
CBFB,ZFP655,641.0
CBFB,PLD3,791.0
CBFB,PLIN3,553.0
CBFB,FARSB,1049.0
CBFB,GBP3,886.0
CBFB,MEF2A,824.0
CBFB,STRIP1,635.0
CBFB,ALG2,858.0
CBFB,BTBD9,777.0
CBFB,NFKBIA,555.0
CBFB,NMT2,704.0
CBFB,DENND1C,863.0
CBFB,LPCAT3,749.0
CBFB,ILVBL,559.0
CBFB,KPNA3,679.0
CBFB,SDHAF2,705.0
CBFB,KCTD12,652.0
CBFB,CUL4A,770.0
CBFB,FLCN,1007.0
CBFB,HERC4,512.0
CBFB,USP37,1327.0
CBFB,SLC35A4,1077.0
CBFB,ABCB8,572.0
CBFB,AKAP8L,683.0
CBFB,ASAH1,670.0
CBFB,NUBP2,933.0
CBFB,RNF38,711.0
CBFB,FOXRED1,743.0
CBFB,ZFP869,802.0
CBFB,SCFD1,1047.0
CBFB,P2RY14,801.0
CBFB,DEF8,914.0
CBFB,NELFB,597.0
CBFB,SETD2,701.0
CBFB,RARS,794.0
CBFB,AFF4,588.0
CBFB,TPM4,1390.0
CBFB,LRRCC1,694.0
CBFB,ABI1,589.0
CBFB,VIPAS39,997.0
CBFB,ARF3,570.0
CBFB,TRAPPC9,742.0
CBFB,PSTPIP1,932.0
CBFB,PANX1,729.0
CBFB,MARCH5,727.0
CBFB,KLF10,586.0
CBFB,GDI1,1020.0
CBFB,DMTF1,661.0
CBFB,BLCAP,659.0
CBFB,VPS4B,704.0
CBFB,WDR73,647.0
CBFB,NEK9,1011.0
CBFB,CAST,619.0
CBFB,SH3BP5,692.0
CBFB,NSMAF,744.0
CBFB,SIKE1,559.0
CBFB,OXR1,652.0
CBFB,FOS,706.0
CBFB,TSPAN14,658.0
CBFB,CTSL,683.0
CBFB,LAX1,763.0
CBFB,ABHD17B,1123.0
CBFB,1110059E24RIK,1123.0
CBFB,POLR1B,800.0
CBFB,NDFIP2,724.0
CBFB,PPP6C,852.0
CBFB,MFSD1,1130.0
CBFB,PACS1,665.0
CBFB,PXK,558.0
CBFB,MOB3C,497.0
CBFB,ZFP35,688.0
CBFB,TK2,556.0
CBFB,SLC43A2,490.0
CBFB,ITIH5,933.0
CBFB,P2RX4,878.0
CBFB,CD69,726.0
CBFB,VPS35,654.0
CBFB,CISH,576.0
CBFB,ANXA5,943.0
CBFB,ATP13A1,690.0
CBFB,MAU2,790.0
CBFB,HERPUD1,601.0
CBFB,KIF23,527.0
CBFB,WDR4,1221.0
CBFB,RMND5A,552.0
CBFB,LAP3,770.0
CBFB,VAMP3,676.0
CBFB,OASL2,859.0
CBFB,SLC39A11,837.0
CBFB,LRRC8C,581.0
CBFB,PLEKHA2,765.0
CBFB,DCAF11,689.0
CBFB,SAMD9L,666.0
CBFB,FZR1,610.0
CBFB,SNAP47,536.0
CBFB,AAR2,842.0
CBFB,SGPL1,572.0
CBFB,LGALS8,564.0
CBFB,H2-M3,702.0
CBFB,4833439L19RIK,519.0
CBFB,TRIM26,534.0
CBFB,SERINC1,718.0
CBFB,GOLT1B,765.0
CBFB,DRAM2,494.0
CBFB,CEPT1,494.0
CBFB,TMEM186,686.0
CBFB,FBXL3,723.0
CBFB,ABCD1,458.0
CBFB,SMAD2,645.0
CBFB,SLC35B4,511.0
CBFB,PIK3C3,696.0
CBFB,EXOC3,680.0
CBFB,TMX1,488.0
CBFB,EXOC2,468.0
CBFB,CDIP1,794.0
CBFB,ARL8B,754.0
CBFB,RASSF2,639.0
CBFB,APPL2,627.0
CBFB,SLC18A2,369.0
CBFB,CNIH1,557.0
CBFB,MYSM1,593.0
CBFB,PCMTD1,638.0
CBFB,MCFD2,465.0
CBFB,CACFD1,649.0
CBFB,TRIM35,696.0
CBFB,FDFT1,643.0
CBFB,LDAH,752.0
CBFB,PQLC1,628.0
CBFB,TOPORS,734.0
CBFB,CHD9,520.0
CBFB,RIC8A,512.0
CBFB,TARS,547.0
CBFB,ZFP110,734.0
CBFB,SMAD3,738.0
CBFB,ATG12,698.0
CBFB,COPB1,752.0
CBFB,FTSJ3,1179.0
CBFB,ADO,670.0
CBFB,PYGL,678.0
CBFB,ADCK1,743.0
CBFB,NCLN,820.0
CBFB,GOLPH3,453.0
CBFB,ATP9B,823.0
CBFB,ACLY,691.0
CBFB,ANAPC4,574.0
CBFB,STXBP4,627.0
CBFB,TMEM168,689.0
CBFB,INO80D,654.0
CBFB,GYG,599.0
CBFB,RANBP3,559.0
CBFB,PLAA,788.0
CBFB,XRCC5,721.0
CBFB,STAP1,660.0
CBFB,DNAJC5,570.0
CBFB,WBP1L,668.0
CBFB,TRIM30A,639.0
CBFB,KLHL24,697.0
CBFB,ARHGEF6,716.0
CBFB,GPCPD1,441.0
CBFB,IRF1,465.0
CBFB,RNF6,637.0
CBFB,CTPS2,490.0
CBFB,MCM3,573.0
CBFB,FCHO2,553.0
CBFB,SESN1,418.0
CBFB,COQ8A,491.0
CBFB,CDK19,474.0
CBFB,F2RL3,686.0
CBFB,ALDH6A1,737.0
CBFB,POGLUT1,466.0
CBFB,DNM1L,877.0
CBFB,ZFP451,604.0
CBFB,RNF13,479.0
CBFB,CD1D1,752.0
CBFB,SLC19A1,524.0
CBFB,SNAPC3,603.0
CBFB,COG6,780.0
CBFB,RCSD1,963.0
CBFB,ELMO2,716.0
CBFB,NEK7,415.0
CBFB,MAN2B2,562.0
CBFB,HSDL1,604.0
CBFB,FAM120B,559.0
CBFB,ARHGAP4,768.0
CBFB,YTHDF3,697.0
CBFB,JPT2,678.0
CBFB,TMEM175,608.0
CBFB,CTNNA1,550.0
CBFB,RMND5B,476.0
CBFB,TVP23B,691.0
CBFB,NAE1,520.0
CBFB,MRPL37,642.0
CBFB,MTAP,789.0
CBFB,TCTA,462.0
CBFB,RNF14,556.0
CBFB,CHMP3,742.0
CBFB,LDHB,638.0
CBFB,PSMD5,596.0
CBFB,MYLIP,576.0
CBFB,ANKS3,564.0
CBFB,MCM5,607.0
CBFB,PIK3CG,736.0
CBFB,MYCN,555.0
CBFB,MAST3,561.0
CBFB,GNAI3,444.0
CBFB,GSKIP,525.0
CBFB,GMCL1,368.0
CBFB,NBEAL2,645.0
CBFB,ZUP1,628.0
CBFB,SPTLC2,576.0
CBFB,APLP2,452.0
CBFB,B230219D22RIK,476.0
CBFB,IL21R,531.0
CBFB,SLC30A5,767.0
CBFB,ATP6V1A,575.0
CBFB,PPIL4,534.0
CBFB,TNFRSF21,627.0
CBFB,FBXW5,715.0
CBFB,AKTIP,672.0
CBFB,ACOX1,446.0
CBFB,SPECC1L,635.0
CBFB,RELT,700.0
CBFB,ABHD4,385.0
CBFB,STARD4,341.0
CBFB,TBC1D15,551.0
CBFB,SLC39A6,460.0
CBFB,ELP2,460.0
CBFB,CYTH4,496.0
CBFB,SLC2A1,470.0
CBFB,VAV1,405.0
CBFB,RHOF,462.0
CBFB,CAPN7,603.0
CBFB,DUSP6,553.0
CBFB,ZBTB38,613.0
CBFB,ZKSCAN3,533.0
CBFB,ZFP715,529.0
CBFB,ASB8,602.0
CBFB,BCAP29,487.0
CBFB,ARAP1,623.0
CBFB,SWAP70,566.0
CBFB,SMIM15,570.0
CBFB,OAT,407.0
CBFB,KIDINS220,518.0
CBFB,RNF2,589.0
CBFB,RASA3,561.0
CBFB,IL27RA,459.0
CBFB,HEATR5A,558.0
CBFB,WDR6,432.0
CBFB,DLST,481.0
CBFB,CEP68,565.0
CBFB,NADK,594.0
CBFB,KLC4,586.0
CBFB,PAFAH1B2,523.0
CBFB,FBXL5,379.0
CBFB,ZFP871,564.0
CBFB,PIGQ,494.0
CBFB,METAP1D,612.0
CBFB,UAP1L1,416.0
CBFB,MAPK9,553.0
CBFB,POLR2B,410.0
CBFB,SQLE,422.0
CBFB,GALNT11,489.0
CBFB,CBX7,616.0
CBFB,USP4,585.0
CBFB,USP10,765.0
CBFB,GAA,649.0
CBFB,FADS1,623.0
CBFB,OCRL,438.0
CBFB,CYLD,380.0
CBFB,LCP2,432.0
CBFB,PDK2,502.0
CBFB,SMU1,553.0
CBFB,IPO4,715.0
CBFB,RCBTB2,362.0
CBFB,MOV10,396.0
CBFB,TFG,511.0
CBFB,MYO1F,442.0
CBFB,EDEM2,514.0
CBFB,RABIF,709.0
CBFB,PLEKHO2,437.0
CBFB,FBH1,500.0
CBFB,CTSC,510.0
CBFB,USP8,630.0
CBFB,MLLT3,439.0
CBFB,IKBKB,725.0
CBFB,FIG4,569.0
CBFB,ALDH9A1,408.0
CBFB,ANXA2,344.0
CBFB,TMUB2,568.0
CBFB,RAB18,517.0
CBFB,SPTLC1,564.0
CBFB,MINDY1,393.0
CBFB,RGS2,533.0
CBFB,DDX1,420.0
CBFB,RFC5,497.0
CBFB,LEPROT,462.0
CBFB,SLC25A46,445.0
CBFB,ZFP467,402.0
CBFB,GMIP,587.0
CBFB,SGTA,633.0
CBFB,MSANTD4,857.0
CBFB,TMEM164,283.0
CBFB,NUDT19,605.0
CBFB,RNF114,574.0
CBFB,RBM18,385.0
CBFB,AMPD2,369.0
CBFB,IRAK3,434.0
CBFB,ELOVL6,335.0
CBFB,NCOA7,459.0
CBFB,MAP2K1,505.0
CBFB,RGS1,399.0
CBFB,PSAT1,652.0
CBFB,RAB37,800.0
CBFB,IER5,441.0
CBFB,PDCL,507.0
CBFB,ATP6AP2,385.0
CBFB,AK3,599.0
CBFB,COPB2,395.0
CBFB,CD48,504.0
CBFB,UBAP1,410.0
CBFB,UCKL1,572.0
CBFB,WWP2,437.0
CBFB,NDEL1,429.0
CBFB,MYO5A,510.0
CBFB,STX5A,489.0
CBFB,CERS5,555.0
CBFB,TRIM59,380.0
CBFB,SC5D,426.0
CBFB,ABCG3,578.0
CBFB,CASD1,513.0
CBFB,ZFP263,526.0
CBFB,ABL1,319.0
CBFB,TRP53BP1,492.0
CBFB,ITFG1,456.0
CBFB,KLHL6,419.0
CBFB,RCN1,388.0
CBFB,MARCH6,500.0
CBFB,TMEM173,462.0
CBFB,KLHL7,331.0
CBFB,APEH,442.0
CBFB,AFG3L2,561.0
CBFB,SMAD5,440.0
CBFB,PSEN1,421.0
CBFB,LIN7C,373.0
CBFB,PON2,532.0
CBFB,CHKA,433.0
CBFB,QARS,514.0
CBFB,ZFP592,343.0
CBFB,SYTL1,439.0
CBFB,CPQ,450.0
CBFB,UTP4,402.0
CBFB,SLCO3A1,543.0
CBFB,VPS41,490.0
CBFB,DENND2D,301.0
CBFB,JAK3,452.0
CBFB,PQLC3,366.0
CBFB,TMEM206,438.0
CBFB,SLC44A2,485.0
CBFB,CYBC1,530.0
CBFB,CNP,585.0
CBFB,SNX4,395.0
CBFB,PAPSS1,473.0
CBFB,CTSO,567.0
CBFB,SNX30,403.0
CBFB,ANKFY1,437.0
CBFB,TMEM109,465.0
CBFB,SFXN3,346.0
CBFB,POT1A,404.0
CBFB,GCH1,405.0
CBFB,PCMTD2,364.0
CBFB,ZMYM2,333.0
CBFB,BTG2,620.0
CBFB,PREP,544.0
CBFB,CCL4,403.0
CBFB,TOLLIP,454.0
CBFB,INPP1,286.0
CBFB,ARHGAP27,536.0
CBFB,REPIN1,416.0
CBFB,MSMO1,475.0
CBFB,METTL27,499.0
CBFB,GIMAP5,426.0
CBFB,TCIRG1,359.0
CBFB,CDC42SE2,488.0
CBFB,GANAB,532.0
CBFB,RIT1,572.0
CBFB,TERF2IP,627.0
CBFB,G6PDX,491.0
CBFB,ERLIN1,461.0
CBFB,PARP12,439.0
CBFB,GNA13,425.0
CBFB,TGFBR2,552.0
CBFB,ZFP266,477.0
CBFB,TBC1D9B,305.0
CBFB,PDE7A,353.0
CBFB,HMGCS1,395.0
CBFB,ARHGAP18,354.0
CBFB,TRAFD1,450.0
CBFB,TBC1D5,395.0
CBFB,SOCS5,326.0
CBFB,TMC6,497.0
CBFB,MPND,377.0
CBFB,VPS11,468.0
CBFB,JUNB,358.0
CBFB,GMPR,455.0
CBFB,EDC3,333.0
CBFB,SGMS1,257.0
CBFB,USP25,331.0
CBFB,CERS4,308.0
CBFB,EPSTI1,402.0
CBFB,LTB,350.0
CBFB,PLXNC1,390.0
CBFB,TPST2,370.0
CBFB,PGRMC1,403.0
CBFB,PARP9,530.0
CBFB,PPP1R15A,330.0
CBFB,MAN1A,332.0
CBFB,PARP8,588.0
CBFB,RPA1,311.0
CBFB,CNN3,365.0
CBFB,BHLHB9,548.0
CBFB,MPL,469.0
CBFB,MCM2,326.0
CBFB,ATAD1,412.0
CBFB,DCAF4,480.0
CBFB,ABCF3,356.0
CBFB,CYB5R1,417.0
CBFB,FBXO21,362.0
CBFB,E2F6,418.0
CBFB,ACOT9,432.0
CBFB,ST6GALNAC4,391.0
CBFB,ERAP1,387.0
CBFB,ZMYM3,397.0
CBFB,TPP1,348.0
CBFB,FLOT2,260.0
CBFB,FAM160B1,278.0
CBFB,ABRAXAS2,426.0
CBFB,PPM1H,356.0
CBFB,ITGB7,334.0
CBFB,SLFN8,357.0
CBFB,DHRS1,245.0
CBFB,SLA,443.0
CBFB,ZFP68,413.0
CBFB,METTL7A1,381.0
CBFB,GOLPH3L,374.0
CBFB,SMPD2,319.0
CBFB,YOD1,265.0
CBFB,CCDC50,348.0
CBFB,PPT1,328.0
CBFB,FLT3,448.0
CBFB,BPGM,444.0
CBFB,ADSSL1,293.0
CBFB,ARRDC3,212.0
CBFB,SLC28A2,426.0
CBFB,PWP1,549.0
CBFB,IFIH1,283.0
CBFB,ISYNA1,408.0
CBFB,HEXA,429.0
CBFB,GNS,309.0
CBFB,GBP7,390.0
CBFB,ZFP157,429.0
CBFB,JUN,400.0
CBFB,MAPKAPK3,289.0
CBFB,CLN5,527.0
CBFB,PTTG1IP,347.0
CBFB,XIAP,256.0
CBFB,SAT1,515.0
CBFB,UMPS,421.0
CBFB,RDH11,283.0
CBFB,SLC6A6,262.0
CBFB,TMEM71,414.0
CBFB,9530068E07RIK,338.0
CBFB,MTFR1,378.0
CBFB,NDE1,294.0
CBFB,STAT6,299.0
CBFB,SP100,367.0
CBFB,ZFP386,380.0
CBFB,BID,433.0
CBFB,RNASEL,333.0
CBFB,FAM91A1,389.0
CBFB,PITPNB,320.0
CBFB,UBA3,227.0
CBFB,S100A6,409.0
CBFB,RHOH,230.0
CBFB,NAMPT,366.0
CBFB,LAPTM4B,357.0
CBFB,STX12,270.0
CBFB,USP11,332.0
CBFB,TNFRSF13C,270.0
CBFB,HPCAL1,391.0
CBFB,TSPYL3,352.0
CBFB,PUS7,428.0
CBFB,GIMAP1,334.0
CBFB,PDK3,354.0
CBFB,UNC93B1,198.0
CBFB,ZFP945,293.0
CBFB,PCYT2,451.0
CBFB,ETFBKMT,270.0
CBFB,CAPN5,354.0
CBFB,IARS,439.0
CBFB,TMX3,389.0
CBFB,GUSB,332.0
CBFB,ASB13,308.0
CBFB,EYA1,253.0
CBFB,AKNA,279.0
CBFB,AP1G2,295.0
CBFB,GLIPR2,286.0
CBFB,FAM234A,359.0
CBFB,PLBD2,225.0
CBFB,BMI1,265.0
CBFB,NOTCH1,285.0
CBFB,SLC35B3,390.0
CBFB,TNFRSF26,279.0
CBFB,TAPT1,303.0
CBFB,PRPS1,286.0
CBFB,BAG2,247.0
CBFB,TAPBPL,232.0
CBFB,TAF12,264.0
CBFB,CCNG1,320.0
CBFB,TMEM263,315.0
CBFB,MFSD14B,297.0
CBFB,CHRNB1,225.0
CBFB,IMPACT,376.0
CBFB,FUT7,377.0
CBFB,EPB41L4B,324.0
CBFB,INPP5B,253.0
CBFB,PGM1,235.0
CBFB,SELL,310.0
CBFB,UBE2L6,265.0
CBFB,NFAM1,318.0
CBFB,IL15RA,299.0
CBFB,IDUA,297.0
CBFB,DCTD,233.0
CBFB,INTS6L,360.0
CBFB,MAP4K2,213.0
CBFB,HACD4,450.0
CBFB,MFGE8,325.0
CBFB,ARHGEF3,238.0
CBFB,ELOVL1,289.0
CBFB,ATP13A2,183.0
CBFB,CD82,192.0
CBFB,PADI4,289.0
CBFB,EXT2,227.0
CBFB,ANXA6,252.0
CBFB,STX7,288.0
CBFB,CYTIP,166.0
CBFB,VPS39,332.0
CBFB,DDX58,299.0
CBFB,PLCB2,340.0
CBFB,NFATC1,163.0
CBFB,SLC25A45,208.0
CBFB,ARHGAP25,217.0
CBFB,ARMCX1,210.0
CBFB,ZFP141,182.0
CBFB,KCNK5,169.0
CBFB,NAGA,227.0
CBFB,NUDT16,254.0
CBFB,FUCA2,245.0
CBFB,GSDME,219.0
CBFB,AIG1,249.0
CBFB,ICAM1,238.0
CBFB,ATP6AP1,212.0
CBFB,B4GALT4,203.0
CBFB,TNFRSF1B,308.0
CBFB,OSBPL1A,178.0
CBFB,IGTP,211.0
CBFB,N4BP2L1,267.0
CBFB,ABCG2,277.0
CBFB,PLIN2,256.0
CBFB,CTSZ,255.0
CBFB,ORAI3,192.0
CBFB,TSPAN6,318.0
CBFB,PIM2,247.0
CBFB,TOR4A,264.0
CBFB,VAV3,224.0
CBFB,CSAD,212.0
CBFB,DPP4,223.0
CBFB,NSDHL,222.0
CBFB,PAK1,162.0
CBFB,IRGM2,131.0
CBFB,LYN,141.0
CBFB,IRGM1,195.0
CBFB,PEAR1,205.0
CBFB,CALCRL,209.0
CBFB,PHACTR2,196.0
CBFB,CYFIP1,138.0
CBFB,GBP2,199.0
CBFB,H1F0,218.0
CBFB,TCN2,182.0
CBFB,RASA4,176.0
CBFB,CD84,205.0
CBFB,NKG7,238.0
CBFB,MYO1G,173.0
CBFB,1600014C10RIK,193.0
CBFB,RTP4,170.0
CBFB,ARMCX2,212.0
CBFB,PRPS2,203.0
CBFB,TYROBP,127.0
CBFB,WLS,175.0
CBFB,CTLA2B,171.0
CBFB,MYL10,188.0
CBFB,CAND2,216.0
CBFB,SMPDL3A,190.0
CBFB,GRN,157.0
CBFB,SSH3,153.0
CBFB,MAN2A2,175.0
CBFB,INKA1,151.0
CBFB,RAB32,186.0
CBFB,UBL4A,195.0
CBFB,PRKCQ,142.0
CBFB,RNF213,173.0
CBFB,GEM,145.0
CBFB,APOE,138.0
CBFB,XAF1,148.0
CBFB,PLA2G4A,131.0
CBFB,IER3,255.0
CBFB,DECR1,155.0
CBFB,IER2,131.0
CBFB,USP18,126.0
CBFB,ELF4,161.0
CBFB,SLC17A9,134.0
CBFB,H2-AB1,144.0
CBFB,OCIAD2,155.0
CBFB,EMILIN1,157.0
CBFB,FRMD8,130.0
CBFB,TOR3A,142.0
CBFB,TRMT2B,123.0
CBFB,THSD1,148.0
CBFB,PPIC,204.0
CBFB,CD53,203.0
CBFB,NEURL3,193.0
CBFB,SCARF1,179.0
CBFB,ATP2B4,173.0
CBFB,TNIP3,167.0
CBFB,CNRIP1,161.0
CBFB,NEK6,160.0
CBFB,CCL3,159.0
CBFB,PLEKHB2,153.0
CBFB,FGD2,152.0
CBFB,ZFP36,151.0
CBFB,SH2D5,151.0
CBFB,PTGS1,150.0
CBFB,HSD3B7,149.0
CBFB,GNG11,144.0
CBFB,CPT1A,135.0
CBFB,IL12A,134.0
CBFB,SIGIRR,133.0
CBFB,PECAM1,131.0
CBFB,MAGED2,131.0
CBFB,MYADM,128.0
CBFB,PAQR5,124.0
CBFB,MYCT1,124.0
CBFB,PLEK,121.0
CBFB,MCTP1,121.0
CBFB,CD9,121.0
CBFB,SHISA8,117.0
CBFB,ANXA1,112.0
CBFB,PARP10,111.0
CBFB,TIFA,108.0
CBFB,RNASE6,107.0
CBFB,GRINA,104.0
CBX7,SHISA8,951.0
CBX7,IER5,878.0
CBX7,CLCN4,950.0
CBX7,IL15RA,932.0
CBX7,PRKCH,942.0
CBX7,PLXNC1,802.0
CBX7,SATB1,842.0
CBX7,EYA2,995.0
CBX7,FLT3,927.0
CBX7,RASSF5,926.0
CBX7,SLCO3A1,1032.0
CBX7,IRF5,847.0
CBX7,EFCC1,749.0
CBX7,TIFA,828.0
CBX7,KCTD12,855.0
CBX7,SLC35D3,637.0
CBX7,PPM1H,777.0
CBX7,PHACTR2,887.0
CBX7,ZFP467,821.0
CBX7,LYN,902.0
CBX7,VAV3,840.0
CBX7,PARP12,864.0
CBX7,H2-AB1,982.0
