Gene1,Gene2
E2F6,FBXO5
E2F6,ISG20
E2F6,PRKAB1
E2F6,TMEM168
E2F6,TSPAN3
E2F6,ZFP62
E2F6,STARD7
E2F6,MFSD2B
E2F6,PTTG1IP
E2F6,PWP2
E2F6,MARCH6
E2F6,ELF4
E2F6,DUSP1
E2F6,CDCA8
E2F6,CLN5
E2F6,GOLPH3
E2F6,PICALM
E2F6,ATG16L1
E2F6,AFG3L2
E2F6,SLC30A5
E2F6,PRELID3B
E2F6,CCNE2
E2F6,CDCA4
E2F6,SKAP2
E2F6,SMIM15
E2F6,CD55
E2F6,RPA1
E2F6,KLF10
E2F6,NSMAF
E2F6,CYP20A1
E2F6,NUP107
E2F6,RFESD
E2F6,SESN1
E2F6,CCNB1
E2F6,NDFIP2
E2F6,CSTF2
E2F6,TYMS
E2F6,ERAP1
E2F6,RNF139
E2F6,CPT1A
E2F6,MAD2L1
E2F6,WDR4
E2F6,SMIM1
E2F6,SMIM5
E2F6,SCARB1
E2F6,NAMPT
E2F6,LDAH
E2F6,BAG2
E2F6,RNF13
E2F6,DMTF1
E2F6,MBTPS1
E2F6,PRKAR2B
E2F6,MFN2
E2F6,IRF1
E2F6,HAUS2
E2F6,DIS3L2
E2F6,SQLE
E2F6,SLC19A1
E2F6,SC5D
E2F6,NEK9
E2F6,MOB3C
E2F6,TOP2A
E2F6,SPC25
E2F6,CLIC4
E2F6,TMEM164
E2F6,KLHL23
E2F6,WDR6
E2F6,NT5DC1
E2F6,TMEM206
E2F6,TFR2
E2F6,MFGE8
E2F6,F2R
E2F6,ENTPD5
E2F6,NDRG1
E2F6,GUF1
E2F6,ABCB10
E2F6,RAB32
E2F6,RNF6
E2F6,ACOT9
E2F6,MTREX
E2F6,DOCK2
E2F6,FGFR1OP
E2F6,TBL3
E2F6,RNF115
E2F6,HEBP1
E2F6,GATA1
E2F6,DDHD2
E2F6,DENND2D
E2F6,TWSG1
E2F6,GRN
E2F6,KAT7
E2F6,YTHDF3
E2F6,OSBPL1A
E2F6,VPS11
E2F6,FDFT1
E2F6,NUP93
E2F6,PON2
E2F6,ICE1
E2F6,MGRN1
E2F6,HARS
E2F6,HARS2
E2F6,PAFAH2
E2F6,APEH
E2F6,AHCYL1
E2F6,LRRC14
E2F6,SEPT8
E2F6,TRMT11
E2F6,SUN1
E2F6,LPCAT3
E2F6,GFI1B
E2F6,DUSP2
E2F6,SLC25A38
E2F6,RABIF
E2F6,ACSS1
E2F6,TIMM50
E2F6,BYSL
E2F6,TRIM35
E2F6,WWP2
E2F6,STX2
E2F6,SLC43A1
E2F6,CTTN
E2F6,GFM1
E2F6,AIG1
E2F6,HUS1
E2F6,ALDH18A1
E2F6,EIF2B1
E2F6,ATP6AP1
E2F6,DNPEP
E2F6,REXO4
E2F6,CENPO
E2F6,IFRD2
E2F6,DCAF11
E2F6,NARF
E2F6,E2F8
E2F6,BLVRB
E2F6,XAB2
E2F6,CDK1
E2F6,HSPH1
E2F6,AK3
E2F6,USP11
E2F6,PQLC3
E2F6,MCM5
E2F6,NAE1
E2F6,RMND5B
E2F6,RASSF5
E2F6,PLCG2
E2F6,ADO
E2F6,ABCB8
E2F6,ME2
E2F6,TTLL12
E2F6,AMPD2
E2F6,APLP2
E2F6,CBFB
E2F6,PRC1
E2F6,LMNA
E2F6,BUB1B
E2F6,ORC5
E2F6,ADCK1
E2F6,MYCN
E2F6,TMEM43
E2F6,ASNS
E2F6,PRPF4
E2F6,ORC6
E2F6,IKBKG
E2F6,FBH1
E2F6,PITRM1
E2F6,XPC
E2F6,ZZZ3
E2F6,MFSD14B
E2F6,ELAC2
E2F6,NOP2
E2F6,RIC8A
E2F6,FPGS
E2F6,DCAF4
E2F6,SLC25A21
E2F6,NIF3L1
E2F6,ATL2
E2F6,IPO9
E2F6,PITPNB
E2F6,ABCG2
E2F6,NUSAP1
E2F6,SPC24
E2F6,VIPAS39
E2F6,HMMR
E2F6,STAT6
E2F6,RCN1
E2F6,IFI30
E2F6,CRBN
E2F6,INCENP
E2F6,DUS1L
E2F6,SNAP23
E2F6,SMC2
E2F6,KIF22
E2F6,ZMYM2
E2F6,PRIM2
E2F6,MAP2K5
E2F6,UAP1
E2F6,ELP3
E2F6,PLD3
E2F6,PDCL
E2F6,VPS33A
E2F6,SLC40A1
E2F6,LYN
E2F6,ELMO1
E2F6,ABL1
E2F6,GMFB
E2F6,LIMD2
E2F6,FASTKD2
E2F6,BHLHB9
E2F6,PWWP3A
E2F6,AAR2
E2F6,IRF7
E2F6,RANGAP1
E2F6,TARS
E2F6,TRIM47
E2F6,ALDH9A1
E2F6,TANGO2
E2F6,ATP7B
E2F6,ILVBL
E2F6,UTP4
E2F6,OXR1
E2F6,LRRC8C
E2F6,BAP1
E2F6,FAM136A
E2F6,NCAPD2
E2F6,CHMP7
E2F6,CPOX
E2F6,ICA1
E2F6,YPEL3
E2F6,KIF20B
E2F6,NUDT16
E2F6,DECR1
E2F6,MOGS
E2F6,TRAFD1
E2F6,DHRS1
E2F6,GCLC
E2F6,PYGL
E2F6,PKM
E2F6,PLEKHB2
E2F6,SNRNP200
E2F6,CASP3
E2F6,STEAP3
E2F6,ARL8B
E2F6,SDHAF2
E2F6,LRRFIP1
E2F6,PPP2R1B
E2F6,VIM
E2F6,SLC35B4
E2F6,TSPAN14
E2F6,DCAF13
E2F6,LGALS8
E2F6,EPSTI1
E2F6,TMEM129
E2F6,TACC3
E2F6,HSD3B7
E2F6,ARHGEF6
E2F6,PNO1
E2F6,MTAP
E2F6,CD82
E2F6,ZDHHC6
E2F6,UGCG
E2F6,SLC25A46
E2F6,FIG4
E2F6,HELLS
E2F6,UBA3
E2F6,PREP
E2F6,VPS33B
E2F6,FAM76B
E2F6,COA5
E2F6,NDOR1
E2F6,RARS
E2F6,CCNA2
E2F6,ANXA5
E2F6,OTUD6B
E2F6,PRKCH
E2F6,WDR45B
E2F6,OAT
E2F6,TMEM68
E2F6,POLR2B
E2F6,CCDC50
E2F6,TOPORS
E2F6,SPIRE1
E2F6,EMILIN2
E2F6,CYTH3
E2F6,KLHL7
E2F6,INPP5K
E2F6,ARHGEF18
E2F6,EPDR1
E2F6,BTK
E2F6,TMEM56
E2F6,MINPP1
E2F6,TMX1
E2F6,NUBP2
E2F6,ATP1B2
E2F6,PPP6C
E2F6,INKA1
E2F6,CACFD1
E2F6,THUMPD1
E2F6,TRIB2
E2F6,RNASEL
E2F6,GMPR
E2F6,GYPC
E2F6,KIDINS220
E2F6,FZR1
E2F6,SERPINF1
E2F6,SMPDL3A
E2F6,TUBGCP2
E2F6,CEPT1
E2F6,NEDD1
E2F6,ARHGAP1
E2F6,MMUT
E2F6,FBXW5
E2F6,DHFR
E2F6,EYA2
E2F6,SLC22A3
E2F6,SIAE
E2F6,ATP2A3
E2F6,PFKM
E2F6,ZDHHC13
E2F6,GOSR2
E2F6,PLA2G12A
E2F6,CENPL
E2F6,GOLM1
E2F6,PPIL4
E2F6,ACAA2
E2F6,PLA2G4A
E2F6,COG6
E2F6,SLC35A1
E2F6,CNIH1
E2F6,AFAP1L1
E2F6,PACSIN2
E2F6,HDAC10
E2F6,ANKRD27
E2F6,ENDOD1
E2F6,CD34
E2F6,ALAD
E2F6,VKORC1L1
E2F6,DNAJC5
E2F6,RASA3
E2F6,STXBP4
E2F6,TMUB2
E2F6,STK17B
E2F6,TPX2
E2F6,RAB37
E2F6,ATAD1
E2F6,NCEH1
E2F6,XPNPEP1
E2F6,MTFR1
E2F6,INPP5B
E2F6,WDR75
E2F6,TIMM29
E2F6,PTCD3
E2F6,TVP23B
E2F6,PCP4L1
E2F6,CCNG1
E2F6,WARS
E2F6,MED22
E2F6,MINDY1
E2F6,MAU2
E2F6,ST3GAL6
E2F6,ABCB4
E2F6,ATG4B
E2F6,UBXN2B
E2F6,IARS2
E2F6,UBE2C
E2F6,CITED4
E2F6,COG7
E2F6,ARRDC3
E2F6,WBP1L
E2F6,CAMK1
E2F6,ANKRD46
E2F6,USP8
E2F6,KRT18
E2F6,GALNT6
E2F6,VPS41
E2F6,LEPROT
E2F6,IFIH1
E2F6,CMTM6
E2F6,MARCH5
E2F6,SWAP70
E2F6,FAM234B
E2F6,MKI67
E2F6,COL5A1
E2F6,MARS
E2F6,MAGED1
E2F6,FTSJ3
E2F6,ARMC8
E2F6,SIGIRR
E2F6,SLC44A2
E2F6,CD9
E2F6,MFNG
E2F6,STX12
E2F6,PIK3C3
E2F6,HACD4
E2F6,SLC18A2
E2F6,ST6GALNAC4
E2F6,ELMO2
E2F6,TMEM176B
E2F6,TMEM176A
E2F6,CYB5R3
E2F6,ITGA6
E2F6,PLXNC1
E2F6,PHETA2
E2F6,PPIC
E2F6,TNFAIP2
E2F6,GSTM1
E2F6,ENPP4
E2F6,SPTLC1
E2F6,FES
E2F6,FOS
E2F6,C1QTNF12
E2F6,SQOR
E2F6,TSPAN33
E2F6,TSC22D3
E2F6,ADGRL4
E2F6,ACAP1
E2F6,RHOH
E2F6,CORO1A
E2F6,APOE
JUN,VIM
JUN,PAK1
JUN,ARRDC3
RNF2,E2F6
RNF2,TRIM44
RNF2,EZR
RNF2,RPA2
RNF2,GIMAP5
RNF2,CPQ
RNF2,CHP1
RNF2,SEH1L
RNF2,CENPA
RNF2,SGTA
RNF2,ODC1
RNF2,HSPA4L
RNF2,STK25
RNF2,LIMD2
RNF2,RANBP3
RNF2,TRIM59
RNF2,VPS16
RNF2,CASP2
RNF2,STAT3
RNF2,DUSP2
RNF2,PAFAH2
RNF2,CHMP7
RNF2,ATAD2
RNF2,L2HGDH
RNF2,TBC1D15
RNF2,NUDT9
RNF2,GUSB
RNF2,PBK
RNF2,GFI1B
RNF2,NECAP2
RNF2,TUBGCP3
RNF2,USP37
RNF2,TM7SF3
RNF2,DNAJC11
RNF2,POLE3
RNF2,RPRD1B
RNF2,CUL4A
RNF2,PPT1
RNF2,DDX20
RNF2,RAD51AP1
RNF2,NUDT4
RNF2,MNS1
RNF2,SKAP2
RNF2,SPHK1
RNF2,RGS2
RNF2,PLK1
RNF2,MTHFD1
RNF2,ASAH1
RNF2,BIRC5
RNF2,PSMF1
RNF2,TK1
RNF2,MCM4
RNF2,SLC25A21
RNF2,USP4
RNF2,RPP40
RNF2,NGLY1
RNF2,OSBPL1A
RNF2,GNB4
RNF2,GTF2H1
RNF2,GOLT1B
RNF2,AURKB
RNF2,SMAD2
RNF2,CMPK2
RNF2,TMEM263
RNF2,PIP4K2A
RNF2,TMX3
RNF2,NCAPG
RNF2,SPRYD4
RNF2,CCNF
RNF2,TMEM186
RNF2,TRMT6
RNF2,STT3B
RNF2,GFM1
RNF2,DIS3L2
RNF2,LDAH
RNF2,RFESD
RNF2,PRMT7
RNF2,THUMPD3
RNF2,NUP155
RNF2,PRELID3B
RNF2,RAD51
RNF2,GATM
RNF2,HACD3
RNF2,HAGH
RNF2,RFC4
RNF2,COQ8A
RNF2,NAGA
RNF2,PTDSS2
RNF2,MAPKAPK3
RNF2,CISH
RNF2,ACSS1
RNF2,STOM
RNF2,LMNA
RNF2,MFAP3
RNF2,METAP1D
RNF2,TIPIN
RNF2,EYA2
RNF2,RCSD1
RNF2,RHOF
RNF2,UBE2G2
RNF2,CDC7
RNF2,CYP20A1
RNF2,ERLIN1
RNF2,CCDC50
RNF2,CAST
RNF2,FUCA2
RNF2,MTREX
RNF2,TMEM109
RNF2,LAP3
RNF2,UHRF1
RNF2,TFRC
RNF2,CEP70
RNF2,HLF
RNF2,TOLLIP
RNF2,RNF125
RNF2,MCM2
RNF2,TFR2
RNF2,TWSG1
RNF2,TMEM97
RNF2,BTAF1
RNF2,TTLL12
RNF2,SLC39A11
RNF2,CITED4
RNF2,RNF145
RNF2,NUDT19
RNF2,CDC45
RNF2,PTDSS1
RNF2,OSTM1
RNF2,TNFAIP2
RNF2,SLC22A3
RNF2,SLC43A3
RNF2,VPS26C
RNF2,LONP1
RNF2,POLR1B
RNF2,SLC11A2
RNF2,HSPH1
RNF2,EMILIN2
RNF2,BAG2
RNF2,RASSF5
RNF2,THUMPD1
RNF2,ISG20
RNF2,PRKCH
RNF2,SIAE
RNF2,EPSTI1
RNF2,PTGS1
RNF2,AFAP1L1
RNF2,SLC18A2
RNF2,GNPDA1
RNF2,FRMD8
RNF2,FCHSD2
RNF2,GEMIN5
RNF2,ESYT2
RNF2,PYGL
RNF2,DOCK2
RNF2,ELOVL1
RNF2,GPCPD1
RNF2,NCAPH
RNF2,POLD1
RNF2,GOLM1
RNF2,GMPR
RNF2,KLHL22
RNF2,CD34
RNF2,STX2
RNF2,RAB37
RNF2,ADD2
RNF2,LRRFIP1
RNF2,EXOC2
RNF2,SPIRE1
RNF2,TSPAN14
RNF2,TES
RNF2,LRRC8C
RNF2,STARD10
RNF2,MFSD1
RNF2,ANXA6
RNF2,SLC40A1
RNF2,FIGNL1
RNF2,GRN
RNF2,XRCC5
RNF2,NARF
RNF2,TRIM47
RNF2,CAD
RNF2,CTSO
RNF2,ADGRL4
RNF2,ST3GAL6
RNF2,PPIC
RNF2,ELF4
RNF2,TYMS
RNF2,ENDOD1
RNF2,PCP4L1
RNF2,SPNS2
RNF2,MFGE8
RNF2,SAMD14
RNF2,FADS1
RNF2,TSC22D3
RNF2,SCARB1
RNF2,TNFRSF21
RNF2,IRF1
RNF2,RABIF
RNF2,PRIM1
RNF2,PMPCA
RNF2,MARCH6
RNF2,WDR6
RNF2,PDK3
RNF2,HACD4
RNF2,WLS
RNF2,MYCN
RNF2,DCAF4
RNF2,STEAP3
RNF2,DUSP1
RNF2,LANCL2
RNF2,ZFP62
RNF2,TBC1D20
RNF2,PLCG2
RNF2,PEAR1
RNF2,PCMTD2
RNF2,SEPT8
RNF2,TIFA
RNF2,CHAMP1
RNF2,ZZZ3
RNF2,SIGIRR
RNF2,FAR1
RNF2,VILL
RNF2,SMPDL3A
RNF2,NDRG1
RNF2,E2F8
RNF2,PUS7
RNF2,APEH
RNF2,KLHL23
RNF2,COLGALT1
RNF2,CSTF2
RNF2,ADCK1
RNF2,TMEM164
RNF2,GLIPR2
RNF2,BID
RNF2,RPA1
RNF2,MCFD2
RNF2,MBTPS1
RNF2,AFG3L2
RNF2,FGFR1OP
RNF2,CDC42SE2
RNF2,ICA1
RNF2,CCDC137
RNF2,ATP2A3
RNF2,TBXAS1
RNF2,F2R
RNF2,MOB3C
RNF2,USP11
RNF2,PQLC1
RNF2,CD9
RNF2,LDHB
RNF2,PHF10
RNF2,ABCG2
RNF2,SLC29A1
RNF2,CPT2
RNF2,ATP1B2
RNF2,TRIM35
RNF2,CDCA4
RNF2,ATP7B
RNF2,ERAP1
RNF2,SLC16A1
RNF2,CDT1
RNF2,FLOT2
RNF2,PITPNB
RNF2,ABCB4
RNF2,SMIM1
RNF2,ELMO2
RNF2,CBFB
RNF2,PWWP3A
RNF2,HPCAL1
RNF2,TMEM176B
RNF2,TMEM176A
RNF2,PSEN2
RNF2,PAPSS1
RNF2,PLA2G4A
RNF2,SLC43A1
RNF2,EXOC3
RNF2,UBL4A
RNF2,MAGED1
RNF2,ITGA6
RNF2,CNP
RNF2,F11R
RNF2,GYPC
RNF2,DENND2D
RNF2,BLVRB
RNF2,C1QTNF12
RNF2,SGPP1
RNF2,CSAD
RNF2,PTTG1IP
RNF2,LYN
RNF2,HEBP1
RNF2,RCN1
RNF2,SLC20A1
RNF2,CLN5
RNF2,ESAM
RNF2,NSMAF
RNF2,TMEM56
RNF2,TANGO2
RNF2,NADK
SMAD2,WBP1L
SMAD2,UAP1
SMAD2,ANGPT1
SMAD2,EXOC2
SMAD2,RASSF5
SMAD2,KLF10
SMAD2,PHACTR2
SMAD2,ATAD2
SMAD2,RCBTB2
SMAD2,ATL2
SMAD2,ANKRD46
SMAD2,NUDCD3
SMAD2,CTSL
SMAD2,PICALM
SMAD2,SLC20A1
SMAD2,CCDC50
SMAD2,MAP2K1
SMAD2,PPT1
SMAD2,AK3
SMAD2,NUDT4
SMAD2,RNF14
SMAD2,ATAD1
SMAD2,RNF6
SMAD2,EPSTI1
SMAD2,RAB37
SMAD2,DCAF13
SMAD2,TSC22D3
SMAD2,RABIF
SMAD2,NUSAP1
SMAD2,NUF2
SMAD2,OXR1
SMAD2,PAK1
SMAD2,MCM4
SMAD2,USP37
SMAD2,ADK
SMAD2,PITRM1
SMAD2,F11R
SMAD2,MARCH5
SMAD2,MINPP1
SMAD2,CHMP7
SMAD2,SLC16A1
SMAD2,CASP3
SMAD2,PLD3
SMAD2,SESN1
SMAD2,ME2
SMAD2,STARD7
SMAD2,UAP1L1
SMAD2,HAGH
SMAD2,HUS1
SMAD2,PHF10
SMAD2,THUMPD1
SMAD2,PRC1
SMAD2,SLC11A2
SMAD2,GARS
SMAD2,IKZF2
SMAD2,ADAMTS10
SMAD2,POLE3
SMAD2,SLC44A2
SMAD2,NT5DC1
SMAD2,DDX20
SMAD2,INKA1
SMAD2,CTSC
SMAD2,AHCYL1
SMAD2,SMC2
SMAD2,RARS
SMAD2,NDEL1
SMAD2,SCARB1
SMAD2,CYP20A1
SMAD2,NUP85
SMAD2,H1F0
SMAD2,FIG4
SMAD2,ITIH5
SMAD2,RBPMS
SMAD2,NECAP2
SMAD2,SPTLC2
SMAD2,ZDHHC13
SMAD2,HAUS2
SMAD2,GPCPD1
SMAD2,DCK
SMAD2,BAP1
SMAD2,PSMF1
SMAD2,GCLC
SMAD2,CNOT7
SMAD2,MSMO1
SMAD2,ADD2
SMAD2,NFKBIA
SMAD2,ANAPC2
SMAD2,AAR2
SMAD2,PLEKHB2
SMAD2,LAP3
SMAD2,FAR1
SMAD2,ASNS
SMAD2,ORC5
SMAD2,USP10
SMAD2,TSPAN14
SMAD2,TMEM129
SMAD2,TFRC
SMAD2,TACC3
SMAD2,CEP70
SMAD2,ATG4B
SMAD2,WDR4
SMAD2,NGLY1
SMAD2,ERAP1
SMAD2,ZFP62
SMAD2,ELMO1
SMAD2,TVP23B
SMAD2,TES
SMAD2,PAFAH2
SMAD2,MAD2L1
SMAD2,SMPDL3A
SMAD2,RFESD
SMAD2,CLN5
SMAD2,TOLLIP
SMAD2,NUDT9
SMAD2,PLEKHO2
SMAD2,RIT1
SMAD2,MEMO1
SMAD2,GIMAP5
STAT3,AIG1
STAT3,NAMPT
STAT3,GPCPD1
STAT3,SDSL
STAT3,CPT2
STAT3,ICE1
STAT3,ARRDC3
STAT3,ODC1
STAT3,LMNA
STAT3,PPIL4
STAT3,SLC44A2
STAT3,NDC1
STAT3,GOSR2
STAT3,NUP85
STAT3,BLCAP
STAT3,VPS33A
STAT3,PNO1
STAT3,GOLT1B
STAT3,IARS
STAT3,ALG2
STAT3,HSPA4L
STAT3,SMC2
STAT3,ATP13A1
STAT3,TMUB2
STAT3,MIS12
STAT3,SGTA
STAT3,XAB2
STAT3,NCLN
STAT3,PLK1
STAT3,ADK
STAT3,GMCL1
STAT3,CHP1
STAT3,CDC20
STAT3,ESYT2
STAT3,YTHDF3
STAT3,DMTF1
STAT3,RCC1
STAT3,PAK1
STAT3,CAD
STAT3,SPC24
STAT3,USP11
STAT3,HNRNPLL
STAT3,DPH6
STAT3,NUDT16
STAT3,SLC29A1
STAT3,CTSL
STAT3,PHACTR2
STAT3,EPDR1
STAT3,ICA1
E2F6,CKS1B
E2F6,UBR7
E2F6,ATG12
E2F6,CEP68
E2F6,POGLUT1
E2F6,SLC35B3
E2F6,RBM18
E2F6,PSMD9
E2F6,CNOT10
E2F6,GAA
E2F6,ORC2
JUN,CAMK1
JUN,EDC3
JUN,TCIRG1
JUN,MINDY1
JUN,CDCA5
JUN,WDR75
JUN,PRPF4
JUN,TBL3
JUN,HSD3B7
JUN,SERINC1
JUN,NUP85
JUN,TK2
JUN,TK1
JUN,GPCPD1
JUN,MGST3
JUN,METAP1D
JUN,ST3GAL5
JUN,TARS
JUN,SLC31A1
JUN,NDRG1
JUN,HSPA4L
JUN,PTDSS2
JUN,GMFB
JUN,RGS2
JUN,RDH11
JUN,UAP1
JUN,POLR2B
JUN,TMEM68
JUN,LAP3
JUN,ADK
JUN,KIF20B
JUN,ANKRD46
JUN,DUS1L
JUN,FUCA2
JUN,MARCH6
JUN,TMEM175
JUN,SDSL
JUN,ODC1
JUN,ATG16L1
JUN,DNAJC11
JUN,LMNA
JUN,PPIL4
JUN,IARS
JUN,CTSL
JUN,FOS
JUN,SLC43A1
JUN,STX12
JUN,BIRC2
JUN,KLF10
JUN,MNS1
JUN,HNRNPLL
JUN,OTUD6B
JUN,CDC7
JUN,RNF6
JUN,HAUS2
JUN,GTF2H1
JUN,IPO4
JUN,TVP23B
JUN,DUSP1
JUN,FADS1
JUN,TBC1D15
JUN,SCFD1
JUN,POGLUT1
JUN,BYSL
JUN,CEP70
JUN,MORC3
JUN,CAD
JUN,ATP13A1
JUN,ESYT2
JUN,COA5
JUN,E2F6
JUN,GMCL1
JUN,CENPE
JUN,STARD10
JUN,PLA2G12A
JUN,NUDCD3
JUN,WDHD1
JUN,NUDT16
JUN,CKAP2L
JUN,CCNB2
JUN,CUL4A
JUN,KIF22
JUN,MSMO1
JUN,NAMPT
JUN,TRMT2A
JUN,NECAP2
JUN,VPS33A
JUN,CASP2
JUN,PICALM
JUN,AHCYL1
JUN,NUF2
JUN,COG7
JUN,KLHL7
JUN,SPC24
JUN,UBAP1
JUN,TRMT6
JUN,SLC20A1
JUN,DPH6
JUN,TMX3
JUN,WDR4
JUN,KRT18
JUN,ADGRL4
JUN,PSMD9
JUN,PRC1
JUN,REXO4
JUN,TNFRSF21
JUN,SLC29A1
JUN,PKM
JUN,PSEN1
JUN,DOCK2
JUN,COL5A1
JUN,USP3
JUN,SLC30A5
JUN,CRK
JUN,TWSG1
JUN,VWA5A
JUN,STAT3
JUN,GAA
JUN,APEH
JUN,GOLPH3
JUN,AP1G2
JUN,GUF1
JUN,VPS26C
JUN,ISG20
JUN,CD55
JUN,LDHB
JUN,PLAA
